,Sentence,Polarity_val,Polarity_score
0,"pari olymp live updat : on th day pari olymp , wrestler aman sehrawat august defeat puerto rico 's darian toi cruz men ’ s freestyl kg categori bring india 's th bronz medal .",0.13636363636363635,1
1,thi also first wrestl medal india pari olymp .,0.25,1
2,"with thi , india 's medal talli rose , includ bronz one silver .",0.6,1
3,"also , indian athlet campaign end men 's x relay race team fell short reach medal round finish fifth th overal qualif round friday .",-0.13333333333333333,-1
4,"among detail , court arbitr sport august said decis vinesh phogat 's plea disqualif weight issu expect issu end olymp game .",-0.4,-1
5,"earlier august , neeraj chopra surpass gold-med throw tokyo miss second consecut top finish due except perform pakistan 's arshad nadeem .",0.09375,1
6,the indian men 's hockey team gave pr sreejesh storybook end career .,0.0,0
7,he retir two consecut olymp medal start intern journey india first fail qualifi game .,-0.21666666666666667,-1
8,"neeraj chopra threw .m farther tokyo olymp gold-win throw , pari , secur silver arshad nadeem made histori pakistan olymp record throw .m , cross m final attempt claim gold .",0.0,0
9,nadeem first pakistani win individu olymp gold .,0.525,1
10,"neeraj becom third indian , pv sindhu sushil kumar , win individu olymp medal two differ game .",0.13333333333333333,1
11,"catch live updat pari olymp here , aug , : : pm ist pari olymp live : aman sehrawat bring th bronz medal india , st wrestl pari olymp live : wrestler aman sehrawat august defeat puerto rico 's darian toi cruz men ’ s freestyl kg categori bring india 's th bronz medal .",0.13636363636363635,1
12,thi also first wrestl medal india pari olymp .,0.25,1
13,"with thi , india 's medal talli rose , includ bronz one silver .",0.6,1
14,aman sehrawat domin begin game kept lead - first round .,-0.11666666666666668,-1
15,"in second round , aman continu domin cruz exceed point , cruz could win point .",0.20000000000000004,1
